FZ
박자 계이름 음이름 X좌표 Y좌표
1-1   파 F4 228 137
1-2   솔 G4 302 130
1-3   라 A4 377 124  
1-4   파 F4 452 137
2-1   파 F4 545 137
2-2   솔 G4 619 130
2-3   라 A4 194 124
2-4   파 F4 768 137
3-1   라 A4 861 124
3-2   시플랫 Bb4 936 117
3-3   도 C5 1009 110
4-1   라 A4 1141 124
4-2   시플랫 Bb4 1215 117
4-3   도 C5 1289 110

5-11  도 C5 200 110
5-12  레 D5 249 104
5-21  도 C5 299 110
5-22  시플랫 Bb5 348 117
5-3   라 A5 396 124
5-4   파 F4 468 137
6-11 도 C5 562 110
6-12 레 D5 610 104
6-21 도 C5 659 110
6-22 시플랫 Bb4 708 117
6-3 라 A4 757 124
6-4 파 F4 829 137
7-1 파 F4 921 137
7-2 도 C4 996 156
7-3 파 F4 1069 137
8-1 파 F4 1198 137
8-2 도 C4 1272 156
8-3 파 F4 1344 137

#신성호
